rent_ceiling,unit_address,housing_services,tenancy_start_date,unit_status,bed,occ
"$1,045.38",2325 WOOLSEY ST #19,"Garbage, Sewer, Water",8/7/2005,RENTED - Rented or Available,1,1
$883.14,2325 WOOLSEY ST #20,"Garbage, Water",5/31/1980,RENTED - Rented or Available,1,0
"$1,057.04",2703 WOOLSEY ST #1,"Appliances, Garbage, Water",1/1/2014,RENTED - Rented or Available,0,2
"$1,859.00",2703 WOOLSEY ST #2,"Garbage, Gas, Heat, Water",8/1/2017,RENTED - Rented or Available,1,2
"$2,150.00",2703 WOOLSEY ST #3,"Garbage, Gas, Heat, Water",10/1/2017,RENTED - Rented or Available,1,2
"$1,192.65",2703 WOOLSEY ST #4,"Appliances, Garbage, Water",9/10/2007,RENTED - Rented or Available,1,2
"$2,532.97",2611 WOOLSEY ST #A,"Garbage, Sewer, Water",10/5/2000,RENTED - Rented or Available,2,1
"$1,696.37",2611 WOOLSEY ST #B,"Appliances, Garbage, Water",9/15/2005,RENTED - Rented or Available,1,2
"$1,332.84",2611 WOOLSEY ST #C,"Appliances, Garbage, Water",9/1/2005,RENTED - Rented or Available,1,1
$660.37,2130 WOOLSEY ST #A,"Garbage, Water",11/1/1996,RENTED - Rented or Available,1,0
$672.69,2130 WOOLSEY ST #B,"Garbage, Water",5/31/1980,RENTED - Rented or Available,1,0
"$1,405.91",2130 WOOLSEY ST #C,"Appliances, Garbage, Water",8/1/2015,RENTED - Rented or Available,1,2
$660.38,2130 WOOLSEY ST #D,"Garbage, Water",5/31/1980,RENTED - Rented or Available,1,0
"$1,031.51",2134 WOOLSEY ST,"Appliances, Garbage, Water",4/15/2011,RENTED - Rented or Available,1,1
"$1,550.00",2136 WOOLSEY ST,"Appliances, Garbage, Water",1/7/2017,RENTED - Rented or Available,1,1
"$1,848.58",1912 WOOLSEY ST #1,"Electricity, Garbage, Gas, Other, Water",n/a,RENTED - Rented or Available since 5/18/2001,1,-1
n/a,1912 WOOLSEY ST #2,"Electricity, Garbage, Gas, Other, Water",n/a,(~) MISC - Exempt-Misc since 2/1/2011,-1,-1
$967.44,1912 WOOLSEY ST #3,"Garbage, Parking, Water",4/17/1998,RENTED - Rented or Available,1,0
"$1,530.44",1912 WOOLSEY ST #4,"Garbage, Water",11/1/2008,RENTED - Rented or Available,2,4
$547.23,1908 WOOLSEY ST #A,"Garbage, Water",5/31/1980,RENTED - Rented or Available,2,0
"$1,003.63",1908 WOOLSEY ST #B,"Appliances, Garbage, Parking, Water",3/24/2011,RENTED - Rented or Available,2,1
n/a,1908 WOOLSEY ST #C,(no active services),n/a,(~) MISC - Exempt-Misc since 1/1/1994,-1,-1
$547.23,1908 WOOLSEY ST #D,"Garbage, Water",5/31/1980,RENTED - Rented or Available,2,0
"$1,370.47",1900 WOOLSEY ST #A,"Appliances, Garbage, Parking, Storage, Water",3/1/2008,RENTED - Rented or Available,1,1
"$1,874.55",1900 WOOLSEY ST #B,"Appliances, Garbage, Parking, Water",12/1/2015,RENTED - Rented or Available,1,2
"$1,943.70",1900 WOOLSEY ST #C,"Garbage, Water",8/16/2016,RENTED - Rented or Available,1,2
n/a,1900 WOOLSEY ST #D,(no active services),n/a,(~) MISC - Exempt-Misc since 10/9/2001,-1,-1
$652.03,1816 WOOLSEY ST #1,"Garbage, Water",11/19/1996,RENTED - Rented or Available,0,0
"$1,775.00",1816 WOOLSEY ST #2,"Appliances, Garbage, Water",1/6/2018,RENTED - Rented or Available,0,2
"$1,733.99",1816 WOOLSEY ST #3,"Appliances, Furnishings, Garbage, Water",7/1/2016,RENTED - Rented or Available,0,1
n/a,1816 WOOLSEY ST #4,"Garbage, Water",n/a,(~) MISC - Exempt-Misc since 7/1/2012,-1,-1
"$3,541.06",2140 WOOLSEY ST #A,"Appliances, Garbage, Parking, Water",5/1/2014,RENTED - Rented or Available,3,3
"$1,484.21",2140 WOOLSEY ST #B,"Garbage, Water",8/10/2010,RENTED - Rented or Available,1,2
"$1,791.68",2140 WOOLSEY ST #C,"Appliances, Garbage, Heat, Water",4/5/2014,RENTED - Rented or Available,1,1
"$1,427.39",2140 WOOLSEY ST #D,"Garbage, Water",11/4/2011,RENTED - Rented or Available,1,1
"$6,153.00",2638 WOOLSEY ST #1,"Garbage, Heat, Laundry Access, Water",6/1/2017,RENTED - Rented or Available,4,4
"$3,984.59",2638 WOOLSEY ST #2,"Garbage, Heat, Water",8/1/2016,RENTED - Rented or Available,3,3
"$1,719.68",2638 WOOLSEY ST #3,"Garbage, Water",6/1/2013,RENTED - Rented or Available,1,1
"$1,444.23",1811 WOOLSEY ST #A,"Garbage, Parking, Water",5/31/1980,RENTED - Rented or Available,2,0
"$1,648.42",1811 WOOLSEY ST #B,"Garbage, Parking, Water",5/31/1980,RENTED - Rented or Available,3,0
"$2,923.63",2731 WOOLSEY ST,"Appliances, Garbage, Laundry Access, Parking, Storage",6/1/2007,RENTED - Rented or Available,3,3
"$2,304.96",2733 WOOLSEY ST #1,"Appliances, Electricity, Garbage, Gas, Laundry Access, Parking, Storage, Water",7/1/2005,RENTED - Rented or Available,5,4
"$3,808.19",2733 WOOLSEY ST #2,"Appliances, Electricity, Garbage, Gas, Laundry Access, Parking, Storage, Water",6/1/2006,RENTED - Rented or Available,5,5
"$2,001.91",2733 WOOLSEY ST #REAR,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water",7/1/2009,RENTED - Rented or Available,2,1
"$1,978.69",1632 WOOLSEY ST #1,"Appliances, Electricity, Garbage, Gas, Heat, Parking, Water",5/1/2015,RENTED - Rented or Available,2,2
n/a,1632 WOOLSEY ST #2,"Appliances, Garbage, Parking",2/1/2006,(~) MISC - Exempt-Misc,-1,-1
n/a,1632 WOOLSEY ST #3,"Appliances, Garbage, Parking",2/1/2006,(~) MISC - Exempt-Misc,-1,-1
$836.78,1632 WOOLSEY ST #4,"Appliances, Garbage, Parking, Sewer",n/a,RENTED - Rented or Available since 5/10/1999,2,-1
"$2,291.11",1632 WOOLSEY ST #5,"Appliances, Electricity, Garbage, Gas, Heat, Parking, Water",4/1/2015,RENTED - Rented or Available,2,2
"$2,096.02",1628 WOOLSEY ST #A,"Appliances, Garbage, Laundry Access, Parking, Water",11/21/2010,RENTED - Rented or Available,2,3
"$3,957.37",1628 WOOLSEY ST #B,"Garbage, Laundry Access, Water",8/7/2015,RENTED - Rented or Available,3,3
"$3,382.51",1628 WOOLSEY ST #C,"Appliances, Garbage, Laundry Access, Water",8/1/2014,RENTED - Rented or Available,4,2
"$2,138.18",1628 WOOLSEY ST #D,"Appliances, Garbage, Laundry Access, Water",2/19/2012,RENTED - Rented or Available,2,4
n/a,3128 KING ST,"Garbage, Water",n/a,(~) MISC - Exempt-Misc since 6/1/2009,-1,-1
"$1,301.77",1638 WOOLSEY ST #A,"Appliances, Garbage, Heat, Water",5/1/2015,RENTED - Rented or Available,1,2
"$1,687.95",1638 WOOLSEY ST #B,"Appliances, Garbage, Water",12/15/2016,RENTED - Rented or Available,1,1
n/a,1638 WOOLSEY ST #C,"Garbage, Water",n/a,(~) MISC - Exempt-Misc since 6/1/2009,-1,-1
"$1,132.09",1638 WOOLSEY ST #D,"Appliances, Garbage, Water",8/15/2013,RENTED - Rented or Available,1,1
