pid,lat,lon,address,formatted_address
ChIJ9ScymZ9-hYAR_7INX7YpR7M,37.8747637,-122.2678257,1806 WALNUT ST,1806 Walnut St+ Berkeley+ CA 94709+ USA
ChIJAQPtw4Z-hYARhPjR_0AvAgw,37.8585487,-122.2721678,1824 WARD ST,1824 Ward St+ Berkeley+ CA 94703+ USA
ChIJsbKZgJ9-hYARLt_uQvAtnOs,37.8756924,-122.2680364,1750 WALNUT ST,1750 Walnut St+ Berkeley+ CA 94709+ USA
ChIJjypCm59-hYARUm3OhGrNR3E,37.8751358,-122.2678257,1798 WALNUT ST,1798 Walnut St+ Berkeley+ CA 94709+ USA
ChIJfWUDSJ5-hYARz5Lrg8Q89iE,37.873128,-122.266826,1921 WALNUT ST,1921 Walnut St+ Berkeley+ CA 94704+ USA
ChIJO9BtADF8hYARDYnQL-juIJA,37.8688711,-122.2510759,2308 WARRING ST,2308 Warring St+ Berkeley+ CA 94704+ USA
ChIJO4mSMqB-hYARg1wqBmJef7Q,37.8763551,-122.268158,1710 WALNUT ST,1710 Walnut St+ Berkeley+ CA 94709+ USA
ChIJ66qFM6B-hYARHoNO8yll8zI,37.8765818,-122.2680251,1700 WALNUT ST,1700 Walnut St+ Berkeley+ CA 94709+ USA
ChIJzWrjSqB-hYARuRYMF18gVWY,37.877052,-122.2680694,1640 WALNUT ST,1640 Walnut St+ Berkeley+ CA 94709+ USA
ChIJRWqtSKB-hYARD8M_VVAThq0,37.8773636,-122.2675377,1631 WALNUT ST,1631 Walnut St+ Berkeley+ CA 94709+ USA
ChIJ0dTZTqB-hYART29AzUQz798,37.877332,-122.267704,1633 WALNUT ST,1633 Walnut St+ Berkeley+ CA 94709+ USA
ChIJdYnNUKB-hYARegtAZuZQQRM,37.8779183,-122.2676706,1619 WALNUT ST,1619 Walnut St+ Berkeley+ CA 94709+ USA
ChIJiUi1VKB-hYARfC5tWHzTOxw,37.8778435,-122.268158,1618 WALNUT ST,1618 Walnut St+ Berkeley+ CA 94709+ USA
ChIJA5hALKB-hYARbeYSceHnqWc,37.8761116,-122.2679808,1728 WALNUT ST,1728 Walnut St+ Berkeley+ CA 94709+ USA
ChIJh6amN6B-hYARESYjkw1SxDI,37.8768877,-122.2676297,2137 VIRGINIA ST,2137 Virginia St+ Berkeley+ CA 94709+ USA
EikyMTQxIFZpcmdpbmlhIFN0LCBCZXJrZWxleSwgQ0EgOTQ3MDksIFVTQSIbEhkKFAoSCUXbUTmgfoWAERjKmLSfobxIEN0Q,37.8769218,-122.2675584,2141 VIRGINIA ST,2141 Virginia St+ Berkeley+ CA 94709+ USA
ChIJDcWFN6B-hYARwu5_XNJPoOk,37.876928,-122.267541,1647 WALNUT ST,1647 Walnut St+ Berkeley+ CA 94709+ USA
ChIJIVED-KB-hYAREbaa3OEHfdE,37.878274,-122.267536,1605 WALNUT ST,1605 Walnut St+ Berkeley+ CA 94709+ USA
ChIJJYqE-KB-hYARrah4QAPVqrs,37.8782206,-122.2676758,1607 WALNUT ST,1607 Walnut St+ Berkeley+ CA 94709+ USA
ChIJfdH-4qB-hYARdw-Cm_xs33w,37.878809,-122.268068,1550 WALNUT ST,1550 Walnut St+ Berkeley+ CA 94709+ USA
ChIJ1b4wTaB-hYAR6FyQWSQaRyY,37.877348,-122.268185,1632 WALNUT ST,1632 Walnut St+ Berkeley+ CA 94709+ USA
ChIJZbMv2qB-hYARYobSs3UxSE4,37.8797499,-122.2678257,1519 WALNUT ST,1519 Walnut St+ Berkeley+ CA 94709+ USA
ChIJQ7w22qB-hYARMarNbVram6A,37.879817,-122.267799,1517 WALNUT ST,1517 Walnut St+ Berkeley+ CA 94709+ USA
ChIJZxr__6B-hYARAc3YSJ0kYwY,37.8780532,-122.2682023,1612 WALNUT ST,1612 Walnut St+ Berkeley+ CA 94709+ USA
ChIJIWaZ1aZ-hYARLFgDd4FlzaM,37.8805585,-122.2683422,1444 WALNUT ST,1444 Walnut St+ Berkeley+ CA 94709+ USA
ChIJzZxG16Z-hYARb_9UTfjl2ik,37.8808725,-122.2685346,1440 WALNUT ST,1440 Walnut St+ Berkeley+ CA 94709+ USA
ChIJ06WfLaB-hYARZgLHbTumTPE,37.8762469,-122.2680251,1722 WALNUT ST,1722 Walnut St+ Berkeley+ CA 94709+ USA
ChIJcSy6aYZ-hYARsvMRZSS4wPQ,37.8582563,-122.2748262,1712 WARD ST,1712 Ward St+ Berkeley+ CA 94703+ USA
