unit_address,tenancy_start_date,rent_ceiling,unit_status,housing_services,bed,occ
1720 HEARST AVE #A,7/7/2011,"$1,505.45",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Storage, Water</p>",2,2
1720 HEARST AVE #B,8/1/2017,"$2,400.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Water</p>",2,2
1720 HEARST AVE #C,9/3/2017,"$2,550.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Water</p>",2,2
1720 HEARST AVE #D,9/1/2013,"$1,509.45",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",2,2
1720 HEARST AVE #E,8/7/2014,"$2,404.76",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",2,2
1720 HEARST AVE #F,7/14/2017,"$2,500.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Water</p>",2,2
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 5/1/2001</p>","<p>Garbage, Parking, Storage</p>",-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/1988</p>,<p>Garbage</p>,-1,-1
2311 RUSSELL ST,n/a,n/a,<p>OOCC - Owner Occupied since 10/1/2000</p>,"<p>Garbage, Sewer</p>",-1,-1
2311 RUSSELL ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 11/1/1999</p>,<p>Garbage</p>,-1,-1
2313 RUSSELL ST,n/a,n/a,<p>OOCC - Owner Occupied since 11/1/1999</p>,<p>Garbage</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/2007</p>,"<p>Garbage, Parking, Water</p>",-1,-1
1631 LA VEREDA RD #1,8/20/2016,"$4,603.50",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,2
1631 LA VEREDA RD #2,10/10/2017,"$1,200.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",0,1
1631 LA VEREDA RD #3,7/20/2017,"$1,400.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",0,1
1631 LA VEREDA RD #4,5/1/2002,"$1,773.40",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",2,1
,n/a,n/a,<p>COMM - Commercial since 7/1/2005</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 11/1/1986</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 7/1/1999</p>","<p>Other, Water</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 5/15/2014</p>",<p>(no active services)</p>,-1,-1
2335 BLAKE ST,6/1/2004,"$6,130.44",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",6,6
2337 BLAKE ST,5/31/1980,"$1,288.12",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,0
2339 BLAKE ST,6/1/2007,"$4,222.43",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",3,5
1616 ALLSTON WAY,n/a,n/a,<p>OOCC - Owner Occupied since 6/26/2012</p>,"<p>Garbage, Water</p>",-1,-1
2200 JEFFERSON AVE,n/a,n/a,<p>DUPLEX - Owner Occ duplex since 6/26/2012</p>,"<p>Garbage, Water</p>",-1,-1
2246 8TH ST #A,6/11/2017,"$2,900.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Laundry Access</p>",2,2
2246 8TH ST #B,n/a,n/a,<p>NAR - Not Available for Rent since 8/1/2016</p>,<p>Garbage</p>,-1,-1
925 BANCROFT WAY,n/a,n/a,<p>OOCC - Owner Occupied since 9/24/2008</p>,"<p>Parking, Sewer</p>",-1,-1
,12/31/1995,$629.82,<p>RENTED - Rented or Available</p>,<p>Sewer</p>,2,0
1427 9TH ST #1,n/a,n/a,<p>(~) MISC - Exempt-Misc since 8/21/1990</p>,<p>(no active services)</p>,-1,-1
1427 9TH ST #2,11/22/2015,"$1,848.51",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,2
1427 9TH ST #3,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2008</p>,<p>(no active services)</p>,-1,-1
1427 9TH ST #4,12/19/2015,"$2,447.32",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",2,2
1427 9TH ST #5,11/1/2015,"$1,744.37",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
1427 9TH ST #6,n/a,n/a,<p>(~) MISC - Exempt-Misc since 5/1/2012</p>,"<p>Garbage, Water</p>",-1,-1
1860 DWIGHT WAY,n/a,"$1,583.41",<p>RENTED - Rented or Available since 3/1/2010</p>,<p>(no active services)</p>,2,-1
1862 DWIGHT WAY,n/a,"$1,487.57",<p>RENTED - Rented or Available since 2/1/2012</p>,"<p>Garbage, Water</p>",1,-1
1864 DWIGHT WAY,10/17/2015,"$2,478.57",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Water</p>",2,2
1866 DWIGHT WAY,6/1/2016,"$2,485.89",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Water</p>",2,2
1413 NEILSON ST,3/1/2014,"$1,929.09",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
1412 NORTHSIDE AVE,12/15/2002,"$1,490.12",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
1206 CARLETON ST,7/1/2007,"$1,348.83",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Other, Storage, Water</p>",1,1
1208 CARLETON ST,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Garbage, Parking, Water</p>",-1,-1
1462 STANNAGE AVE #LOWER,12/31/1995,n/a,<p>OOCC - Owner Occupied</p>,<p>(no active services)</p>,-1,-1
1462 STANNAGE AVE #UPPER,n/a,n/a,<p>DUPLEX - Owner Occ duplex since 2/23/2000</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 1/1/1999</p>","<p>Garbage, Laundry Access, Parking</p>",-1,-1
2203 6TH ST #A,n/a,$738.11,<p>RENTED - Rented or Available since 10/1/1998</p>,"<p>Garbage, Parking</p>",2,-1
2203 6TH ST #B,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2007</p>,"<p>Appliances, Garbage, Parking</p>",-1,-1
2203 6TH ST #C,n/a,n/a,<p>(~) MISC - Exempt-Misc since 12/28/1993</p>,<p>(no active services)</p>,-1,-1
2203 6TH ST #D,n/a,$738.11,<p>RENTED - Rented or Available since 3/1/1994</p>,"<p>Garbage, Parking</p>",2,-1
2205 6TH ST,n/a,$630.95,<p>RENTED - Rented or Available since 3/1/1994</p>,"<p>Garbage, Parking</p>",1,-1
2207 6TH ST,n/a,$605.35,<p>RENTED - Rented or Available since 2/9/1994</p>,"<p>Garbage, Parking</p>",1,-1
828 ALLSTON WAY,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2007</p>,<p>Garbage</p>,-1,-1
830 ALLSTON WAY,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2007</p>,"<p>Garbage, Parking</p>",-1,-1
832 ALLSTON WAY #A,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2007</p>,"<p>Appliances, Garbage, Storage</p>",-1,-1
832 ALLSTON WAY #B,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2007</p>,<p>Garbage</p>,-1,-1
3217 ADELINE ST,12/31/1995,n/a,<p>COMM - Commercial</p>,<p>(no active services)</p>,-1,-1
3217 ADELINE ST #A,11/1/2010,"$1,605.88",<p>RENTED - Rented or Available</p>,"<p>Appliances, Heat, Water</p>",3,3
3219 ADELINE ST,12/31/1995,n/a,<p>COMM - Commercial</p>,<p>(no active services)</p>,-1,-1
3219 ADELINE ST #B,8/12/2011,"$2,234.65",<p>RENTED - Rented or Available</p>,"<p>Appliances, Heat, Water</p>",4,4
3221 ADELINE ST,12/31/1995,n/a,<p>COMM - Commercial</p>,<p>(no active services)</p>,-1,-1
1730 BUENA AVE,n/a,n/a,<p>(~) MISC - Exempt-Misc since 1/1/2010</p>,<p>Garbage</p>,-1,-1
1732 BUENA AVE,11/13/2014,"$2,061.22",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking</p>",1,2
1734 BUENA AVE,4/15/2013,"$1,913.77",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,3
1736 BUENA AVE,n/a,$841.94,<p>RENTED - Rented or Available since 5/1/1994</p>,"<p>Garbage, Water</p>",2,-1
1738 BUENA AVE,n/a,"$1,770.20",<p>RENTED - Rented or Available since 7/1/2008</p>,"<p>Garbage, Parking</p>",2,-1
1740 BUENA AVE,7/1/2010,"$1,869.43",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",1,1
1425 CYPRESS ST,7/25/2002,"$2,401.77",<p>RENTED - Rented or Available</p>,"<p>Parking, Water</p>",2,1
1425 CYPRESS ST #A,8/5/2017,"$1,650.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",0,1
1425 CYPRESS ST #B,2/15/2011,"$1,226.66",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Water</p>",1,1
1804 DERBY ST,10/1/2009,"$1,271.01",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",2,1
1806 DERBY ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 12/14/1993</p>,"<p>Garbage, Water</p>",-1,-1
2651 SACRAMENTO ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/14/2001</p>,<p>Garbage</p>,-1,-1
2655 SACRAMENTO ST,5/30/2006,$599.36,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",0,1
2657 SACRAMENTO ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 5/3/2013</p>,<p>(no active services)</p>,-1,-1
2659 SACRAMENTO ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2012</p>,<p>Appliances</p>,-1,-1
2661 SACRAMENTO ST,8/1/2015,$937.27,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",1,1
,n/a,n/a,<p>OOCC - Owner Occupied since 2/2/2006</p>,<p>(no active services)</p>,-1,-1
2921 STANTON ST,5/1/2003,"$1,187.15",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",2,2
2923 STANTON ST,1/1/2016,"$1,534.50",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,2
2925 STANTON ST,n/a,"$1,364.94",<p>RENTED - Rented or Available since 10/1/2016</p>,<p>Garbage</p>,0,-1
2927 STANTON ST,4/1/2013,"$1,293.81",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,4
,n/a,n/a,<p>OOCC - Owner Occupied since 7/26/1994</p>,"<p>Garbage, Parking, Storage, Water</p>",-1,-1
1505 JULIA ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/2011</p>,"<p>Appliances, Garbage, Parking</p>",-1,-1
1505 JULIA ST #MAIN,1/15/2015,"$1,874.55",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,3,3
,n/a,n/a,<p>OOCC - Owner Occupied since 6/27/2005</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 9/17/2002</p>",<p>Gas</p>,-1,-1
12 PANORAMIC WAY,6/27/2015,"$4,009.44",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Storage, Water</p>",2,1
14 PANORAMIC WAY,8/5/2013,"$1,940.71",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,1
16 PANORAMIC WAY,8/1/2011,"$1,561.19",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,1
2319 PROSPECT ST,6/15/2014,"$1,685.98",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,1
2321 PROSPECT ST,3/9/2009,"$1,511.73",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,1
2323 PROSPECT ST,6/2/2014,"$1,897.38",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,2
2325 PROSPECT ST,6/15/2013,"$1,719.68",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,2
2327 PROSPECT ST,7/15/2017,"$1,975.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,2
2329 PROSPECT ST,8/22/2016,"$1,892.55",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,1
2331 PROSPECT ST,8/1/2011,"$1,505.45",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,1
2333 PROSPECT ST,5/31/1980,$799.92,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Sewer, Storage, Water</p>",1,0
2335 PROSPECT ST,7/20/2013,"$1,752.03",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,2
2337 PROSPECT ST,11/1/2016,"$2,020.43",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",1,1
,n/a,n/a,<p>OOCC - Owner Occupied since 12/8/1999</p>,<p>Garbage</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Garbage, Laundry Access, Parking, Storage, Water</p>",-1,-1
1909 VINE ST,n/a,n/a,<p>OOCC - Owner Occupied since 4/10/1991</p>,<p>(no active services)</p>,-1,-1
1909 VINE ST #1/2-U,n/a,n/a,<p>MISC - Exempt-Misc since 7/1/1992</p>,"<p>Garbage, Water</p>",-1,-1
1830 ALCATRAZ AVE,n/a,n/a,<p>COMM - Commercial since 7/19/1983</p>,<p>(no active services)</p>,-1,-1
1832 ALCATRAZ AVE #A,5/15/2011,"$1,895.75",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Water</p>",3,3
1832 ALCATRAZ AVE #B,2/1/2015,"$2,291.11",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",3,3
1834 ALCATRAZ AVE,n/a,n/a,<p>COMM - Commercial since 7/19/1983</p>,<p>(no active services)</p>,-1,-1
2434 PIEDMONT AVE #1,8/18/2006,$899.05,<p>RENTED - Rented or Available</p>,"<p>Appliances, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Sewer, Water</p>",0,0
2434 PIEDMONT AVE #2,5/15/2006,$599.36,<p>RENTED - Rented or Available</p>,<p>Other</p>,1,0
2434 PIEDMONT AVE #3,8/22/2006,$599.36,<p>RENTED - Rented or Available</p>,"<p>Appliances, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water</p>",0,0
2434 PIEDMONT AVE #4,2/10/2006,$599.36,<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",1,1
2434 PIEDMONT AVE #5,6/1/2006,$719.22,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water</p>",0,0
2434 PIEDMONT AVE #6,6/9/2017,"$3,300.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water</p>",0,3
2434 PIEDMONT AVE #7,10/4/2006,$659.30,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Laundry Access, Water</p>",1,1
2434 PIEDMONT AVE #8,8/18/2006,$899.05,<p>RENTED - Rented or Available</p>,"<p>Appliances, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Water</p>",0,0
2434 PIEDMONT AVE #9,1/6/2006,$479.47,<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,0,1
2434 PIEDMONT AVE #10,2/1/2006,$599.36,<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,0,1
2434 PIEDMONT AVE #11,6/1/2001,$761.03,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water</p>",1,1
2434 PIEDMONT AVE #12,6/26/2007,"$1,348.83",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water</p>",1,1
2434 PIEDMONT AVE #13,5/1/2007,$831.30,<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Furnishings, Garbage, Gas, Heat, Laundry Access, Water</p>",1,1
2434 PIEDMONT AVE #14,3/1/2006,$599.36,<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water</p>",0,1
2434 PIEDMONT AVE #15,8/15/2006,$719.22,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Laundry Access, Water</p>",1,0
2434 PIEDMONT AVE #16,8/17/2006,$779.16,<p>RENTED - Rented or Available</p>,"<p>Appliances, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water</p>",1,0
2434 PIEDMONT AVE #17,8/1/2005,$584.19,<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Gas, Laundry Access, Water</p>",0,0
2434 PIEDMONT AVE #18,n/a,$659.30,<p>RENTED - Rented or Available since 6/9/2017</p>,"<p>Electricity, Garbage, Gas, Heat, Other, Water</p>",0,-1
2434 PIEDMONT AVE #19,1/20/2006,$599.36,<p>RENTED - Rented or Available</p>,"<p>Appliances, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access</p>",1,1
2434 PIEDMONT AVE #20,4/29/2007,"$1,096.66",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Furnishings, Garbage, Gas, Heat, Laundry Access, Water</p>",1,1
2434 PIEDMONT AVE #21,12/7/2006,"$1,168.72",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water</p>",0,1
2434 PIEDMONT AVE #22,8/15/2006,$659.30,<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water</p>",0,0
1807 PRINCE ST,n/a,n/a,<p>OOCC - Owner Occupied since 2/1/2011</p>,"<p>Appliances, Garbage, Parking, Water</p>",-1,-1
1809 PRINCE ST #A,n/a,n/a,<p>(~) MISC - Exempt-Misc since 5/1/2014</p>,"<p>Garbage, Storage, Water</p>",-1,-1
1809 PRINCE ST #B,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2005</p>,"<p>Appliances, Garbage, Water</p>",-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/1985</p>,<p>(no active services)</p>,-1,-1
1715 DWIGHT WAY,n/a,"$1,369.40",<p>RENTED - Rented or Available since 7/1/1997</p>,"<p>Garbage, Parking</p>",4,-1
1721 DWIGHT WAY,5/1/2016,"$1,841.40",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Sewer, Water</p>",1,2
1721 DWIGHT WAY #A,n/a,$615.27,<p>RENTED - Rented or Available since 2/28/1995</p>,"<p>Parking, Water</p>",1,-1
2440 ROOSEVELT AVE,n/a,$730.99,<p>RENTED - Rented or Available since 7/1/2010</p>,"<p>Electricity, Furnishings, Garbage, Gas, Water</p>",1,-1
2442 ROOSEVELT AVE,2/1/2007,"$1,318.37",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
2442 ROOSEVELT AVE #A,n/a,$633.75,<p>RENTED - Rented or Available since 2/1/2004</p>,"<p>Appliances, Garbage, Parking, Water</p>",1,-1
2442 ROOSEVELT AVE #B,8/11/2012,"$1,206.16",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,1,1
2444 ROOSEVELT AVE,11/21/2017,"$1,825.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",1,2
2446 ROOSEVELT AVE,6/20/2014,"$1,744.11",<p>RENTED - Rented or Available</p>,"<p>Laundry Access, Parking, Water</p>",1,2
3002 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3004 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3006 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3008 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3010 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3012 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3014 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3016 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3018 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3020 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3022 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3024 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3026 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3028 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3030 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 1/1/1986</p>,<p>(no active services)</p>,-1,-1
3032 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 1/1/1986</p>,<p>(no active services)</p>,-1,-1
3034 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 1/1/1986</p>,<p>(no active services)</p>,-1,-1
3036 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 1/1/1986</p>,<p>(no active services)</p>,-1,-1
3038 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3040 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3042 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3044 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3046 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3048 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3050 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3052 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3054 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3056 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3102 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3104 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3106 SACRAMENTO ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3001 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3003 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3005 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3007 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3009 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3011 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3013 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3015 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3019 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3021 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3023 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
3025 STANTON ST,n/a,n/a,<p>NEW - New Construction since 8/1/1989</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 1/1/1999</p>","<p>Garbage, Water</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 6/1/1999</p>","<p>Garbage, Laundry Access, Parking</p>",-1,-1
1520 BANCROFT WAY #A,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/2017</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Storage, Water</p>",-1,-1
1520 BANCROFT WAY #B,6/1/2011,"$1,505.45",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Storage, Water</p>",2,2
2300 SPAULDING AVE,6/15/2014,"$2,642.59",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Storage, Water</p>",2,3
2306 SACRAMENTO ST,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 3/13/2015</p>",<p>(no active services)</p>,-1,-1
2306 SACRAMENTO ST #A,n/a,n/a,<p>NEW - New Construction since 11/21/2017</p>,<p>(no active services)</p>,-1,-1
2032 HEARST AVE,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Garbage, Parking</p>",-1,-1
