unit_address,tenancy_start_date,rent_ceiling,unit_status,housing_services,bed,occ
2223 WOOLSEY ST,n/a,n/a,<p>OOCC - Owner Occupied since 8/19/2009</p>,<p>Garbage</p>,-1,-1
2223 WOOLSEY ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 8/19/2009</p>,<p>Garbage</p>,-1,-1
2223 WOOLSEY ST #S,n/a,n/a,<p>NAR - Not Available for Rent since 12/14/1993</p>,<p>Garbage</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 9/23/2003</p>",<p>Parking</p>,-1,-1
2424 STUART ST,6/1/2016,"$5,626.50",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,4,8
2426 STUART ST,6/1/2016,"$3,938.55",<p>RENTED - Rented or Available</p>,"<p>Garbage, Garbage</p>",2,5
3090 REGENT ST,n/a,$974.65,<p>RENTED - Rented or Available since 5/18/1995</p>,"<p>Garbage, Water</p>",3,-1
3092 REGENT ST,n/a,$779.19,<p>RENTED - Rented or Available since 12/17/1994</p>,<p>Garbage</p>,2,-1
3094 REGENT ST,n/a,$953.16,<p>RENTED - Rented or Available since 8/1/1991</p>,<p>Garbage</p>,2,-1
2443 WOOLSEY ST,4/1/2012,"$1,535.10",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,2
2445 WOOLSEY ST,4/1/2017,"$2,800.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Water</p>",2,4
,n/a,n/a,<p>OOCC - Owner Occupied since 4/30/1999</p>,"<p>Furnishings, Laundry Access, Parking, Storage, Water</p>",-1,-1
1709 OREGON ST,n/a,n/a,<p>OOCC - Owner Occupied since 3/17/2000</p>,<p>(no active services)</p>,-1,-1
1709 OREGON ST #UPPER,n/a,n/a,<p>OOCC - Owner Occupied since 3/17/2000</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 5/30/1997</p>",<p>Garbage</p>,-1,-1
2767 PARK ST,6/1/2006,"$1,834.01",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Storage, Water</p>",2,2
2769 PARK ST,2/1/2011,"$1,449.69",<p>RENTED - Rented or Available</p>,"<p>Appliances, Laundry Access, Water</p>",2,1
3342 CALIFORNIA ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 2/23/1998</p>,<p>(no active services)</p>,-1,-1
3342 CALIFORNIA ST #B,6/15/2013,$948.54,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water</p>",1,1
3342 CALIFORNIA ST #C,11/5/2007,$875.93,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Gas, Heat, Laundry Access, Other, Parking, Storage, Water</p>",0,1
3342 CALIFORNIA ST #D,5/1/2011,$942.92,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water</p>",1,1
2026 FRANCISCO ST #A,12/31/1995,n/a,<p>DUPLEX - Owner Occ duplex</p>,<p>(no active services)</p>,-1,-1
2026 FRANCISCO ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/1998</p>,<p>(no active services)</p>,-1,-1
2915 HILLEGASS AVE,n/a,n/a,<p>OOCC - Owner Occupied since 5/23/1983</p>,"<p>Electricity, Garbage, Gas, Storage, Water</p>",-1,-1
2917 HILLEGASS AVE,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/1995</p>,"<p>Electricity, Garbage, Gas, Storage, Water</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 6/1/2005</p>","<p>Garbage, Parking, Storage</p>",-1,-1
2341 ELLSWORTH ST #LOWER,6/1/2015,"$4,280.21",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",3,7
2341 ELLSWORTH ST #UPPER,6/1/2015,"$2,853.47",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",2,7
1920 SACRAMENTO ST,9/1/2012,"$1,310.33",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Storage, Water</p>",1,2
1922 SACRAMENTO ST,7/10/2016,"$1,943.70",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Storage, Water</p>",1,1
1924 SACRAMENTO ST,9/16/2017,"$1,900.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Water</p>",1,2
1926 SACRAMENTO ST,10/14/2012,"$1,310.33",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Water</p>",1,1
,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
1741 ADDISON ST,n/a,n/a,<p>NAR - Not Available for Rent since 12/1/2001</p>,<p>Garbage</p>,-1,-1
1743 ADDISON ST,n/a,n/a,<p>NAR - Not Available for Rent since 8/10/2002</p>,<p>Garbage</p>,-1,-1
1745 ADDISON ST,n/a,$606.81,<p>RENTED - Rented or Available since 2/1/2016</p>,<p>Garbage</p>,1,-1
1747 ADDISON ST,n/a,$558.73,<p>RENTED - Rented or Available since 2/1/2016</p>,<p>Garbage</p>,0,-1
1749 ADDISON ST,2/1/2016,"$2,352.90",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,3
1327 MCGEE AVE,10/10/2016,"$2,404.05",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",2,2
1329 MCGEE AVE,n/a,n/a,<p>OOCC - Owner Occupied since 11/1/2008</p>,"<p>Garbage, Water</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 12/1/1997</p>",<p>Garbage</p>,-1,-1
2940 CLAREMONT AVE #1,n/a,$652.61,<p>RENTED - Rented or Available since 8/1/1993</p>,"<p>Garbage, Water</p>",1,-1
2940 CLAREMONT AVE #2,n/a,$637.88,<p>RENTED - Rented or Available since 5/22/1992</p>,"<p>Garbage, Water</p>",1,-1
2940 CLAREMONT AVE #3,n/a,$778.36,<p>RENTED - Rented or Available since 12/13/1986</p>,"<p>Garbage, Water</p>",1,-1
2940 CLAREMONT AVE #4,12/30/2013,"$1,779.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,4
2940 CLAREMONT AVE #5,n/a,$764.32,<p>RENTED - Rented or Available since 3/6/1984</p>,"<p>Garbage, Water</p>",1,-1
2940 CLAREMONT AVE #6,7/15/2008,"$2,512.53",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,1
2940 CLAREMONT AVE #7,8/11/2017,"$1,750.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",0,1
2940 CLAREMONT AVE #8,9/15/1997,$637.81,<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,1,0
1177 DELAWARE ST,1/1/1981,$808.87,<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,0
1179 DELAWARE ST,n/a,$944.97,<p>RENTED - Rented or Available since 7/27/1992</p>,<p>Garbage</p>,2,-1
1181 DELAWARE ST,n/a,$774.22,<p>RENTED - Rented or Available since 3/30/1994</p>,<p>Garbage</p>,2,-1
1183 DELAWARE ST,2/15/2007,"$1,583.41",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",2,2
1219 UNIVERSITY AVE #A,4/1/2015,"$1,640.23",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",1,2
1219 UNIVERSITY AVE #B,8/1/2016,"$1,918.13",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",1,2
1221 UNIVERSITY AVE #A,7/1/2012,"$1,409.01",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",1,2
1221 UNIVERSITY AVE #B,1/20/2014,"$1,611.98",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",1,1
1457 STANNAGE AVE,n/a,n/a,<p>OOCC - Owner Occupied since 8/4/2005</p>,<p>Garbage</p>,-1,-1
1459 STANNAGE AVE,n/a,n/a,<p>OOCC - Owner Occupied since 8/4/2005</p>,<p>Garbage</p>,-1,-1
2333 BROWNING ST,n/a,n/a,<p>OOCC - Owner Occupied since 9/20/1990</p>,<p>(no active services)</p>,-1,-1
2335 BROWNING ST,n/a,n/a,<p>DUPLEX - Owner Occ duplex since 6/6/2010</p>,<p>(no active services)</p>,-1,-1
