address,rpo
1527 STUART ST,1521.715
1803 DERBY ST,1200.67
1927 HASTE ST,1215.716
1712 WARD ST,699.0799999999999
1940 ACTON ST,983.89
2725 HASTE ST,819.5068224299066
2646 ACTON ST,1631.69
1822 MILVIA ST,613.33
2301 OAK ST,963.31
1518 CORNELL AVE,1425.46
2910 WHEELER ST,991.7216666666666
2835 CALIFORNIA ST,1362.8200000000002
1896 ALCATRAZ AVE,731.4844444444444
2405 MCKINLEY AVE,935.3975
1825 CURTIS ST,1483.1899999999998
1904 SACRAMENTO ST,1244.4922222222222
903 HEARST AVE,977.7599999999999
3209 ELLIS ST,1263.16
2500 RUSSELL ST,2540.59
2301 10TH ST,1347.72
1932 CALIFORNIA ST,1195.0249999999999
1511 STUART ST,760.4116666666667
1501 VIRGINIA ST,739.926
2421 VIRGINIA ST,2245.49
2325 CARLETON ST,814.79
2550 TELEGRAPH AVE,1426.1031249999996
1629 WALNUT ST,1890.0183333333334
2454 BANCROFT WAY,553.0266666666668
3216 BAKER ST,1741.585
3138 CALIFORNIA ST,872.2106666666666
2900 ELLSWORTH ST,352.34666666666664
1704 FRANCISCO ST,1000.2346153846154
1526 MILVIA ST,904.6149999999999
2217 WOOLSEY ST,1306.885
2 VIRGINIA GDNS,2864.4
1700 SPRUCE ST,1165.4741666666666
1781 SPRUCE ST,2025.65
2612 WEBSTER ST,1146.218
2488 HILGARD AVE,2695.44
1804 CEDAR ST,1862.0400000000002
2201 BONAR ST,1049.7137500000001
1613 62ND ST,818.4283333333333
1516 FRANCISCO ST,1042.2366666666667
1500 GRANT ST,1002.378
2920 HILLEGASS AVE,1446.195714285714
1536 OXFORD ST,873.74
2252 PARKER ST,785.2585714285715
1947 OREGON ST,1058.8722222222223
2525 10TH ST,1078.18
1824 BLAKE ST,933.94
1475 BANCROFT WAY,673.86
2598 COLLEGE AVE,845.6285714285714
2223 6TH ST,885.2025
1017 DELAWARE ST,431.2699999999999
1647 7TH ST,801.2071428571428
2235 BONAR ST,1186.4211764705883
2582 HILGARD AVE,737.755
2301 HOWE ST,563.515
2627 ASHBY AVE,1950.0
2231 GRANT ST,1695.0
930 BANCROFT WAY,852.5
2308 DURANT AVE,891.0875
3108 HARPER ST,909.11
2442 GRANT ST,1957.625
2014 VIRGINIA ST,1230.12
2747 WALLACE ST,737.92
1604 JOSEPHINE ST,848.3533333333334
2415 DURANT AVE,1092.0657142857142
1624 RUSSELL ST,1030.88
2940 CLAREMONT AVE,1006.9216666666667
2646 SACRAMENTO ST,399.71500000000003
1934 BLAKE ST,1115.14
1043 VIRGINIA ST,738.79
1808 10TH ST,536.415
1722 WALNUT ST,1878.0307692307692
2606 FULTON ST,6118.305
2403 HILLSIDE AVE,1666.6666666666667
1953 ASHBY AVE,1140.887
2615 HILLEGASS AVE,3411.46
2533 COLLEGE AVE,902.97
1525 DERBY ST,1143.21
2901 CLAREMONT AVE,1194.4516666666668
2215 GRANT ST,1056.42
1767 SPRUCE ST,894.4250000000001
2819 COLLEGE AVE,947.5225
2226 CHANNING WAY,851.6475
1412 ACTON ST,892.1150000000001
2501 BENVENUE AVE,723.4822352941177
2311 LE CONTE AVE,995.5681395348837
2227 BONAR ST,999.55
2411 5TH ST,1200.0
1832 ALCATRAZ AVE,697.8100000000001
3145 COLLEGE AVE,1273.1085714285714
1656 OXFORD ST,1475.83
1432 ARCH ST,1038.87875
2510 BANCROFT WAY,1315.0517073170727
2323 CARLETON ST,845.0
2452 BANCROFT WAY,906.8833333333333
1830 WALNUT ST,687.0725
1534 MILVIA ST,1363.1209999999996
2249 BONAR ST,794.7517647058824
1350 ROSE ST,1521.18
1819 BLAKE ST,1591.7849999999999
2206 CALIFORNIA ST,1278.75
1425 CYPRESS ST,1759.4766666666667
1618 HEARST AVE,1098.4400000000003
1725 SAN PABLO AVE,1611.87
2744 PIEDMONT AVE,900.0
2120 GRANT ST,1429.034375
2035 HEARST AVE,1074.97
1639 WALNUT ST,981.8516666666668
1252 HOPKINS ST,904.2133333333335
1356 CURTIS ST,674.025
2022 PARKER ST,2864.4
1522 OXFORD ST,1145.555
1320 JOSEPHINE ST,1028.0825
2620 HILLEGASS AVE,928.1797222222223
2034 PARKER ST,696.04
1412 CHANNING WAY,1376.4033333333334
2160 ASHBY AVE,740.145
3053 HILLEGASS AVE,684.5533333333333
1100 FRANCISCO ST,1175.0
2338 CHANNING WAY,942.6686666666666
1744 ADDISON ST,790.61
3113 CALIFORNIA ST,1614.1900000000003
1600 STUART ST,575.5383333333333
1424 BERKELEY WAY,986.74
3038 SHATTUCK AVE,1055.61
2129 ASHBY AVE,500.2825
2333 9TH ST,670.1383333333333
2688 SACRAMENTO ST,1368.87
3040 FULTON ST,1272.78375
2824 10TH ST,361.2725
1831 DELAWARE ST,1111.0548
2814 CALIFORNIA ST,722.8683333333333
2337 PRINCE ST,1278.75
1666 OXFORD ST,864.2399999999999
2018 FRANCISCO ST,989.808
2425 GRANT ST,985.2320833333333
1710 WALNUT ST,1607.1726666666668
3134 COLLEGE AVE,626.28
3044 TELEGRAPH AVE,1276.4233333333334
1940 WARD ST,1329.1566666666668
2410 STUART ST,777.0349999999999
2130 ASHBY AVE,1493.4512499999998
2921 REGENT ST,1585.665
2529 ELLSWORTH ST,1231.694
2339 ELLSWORTH ST,1601.175
2127 WOOLSEY ST,679.7933333333334
1912 HASTE ST,959.065
3111 HARPER ST,1426.7533333333333
2319 COLLEGE AVE,991.2245
2151 DWIGHT WAY,587.5
2431 GRANT ST,1105.6725
2697 MABEL ST,1432.2000000000003
2111 BYRON ST,978.3566666666666
1631 ALCATRAZ AVE,566.4966666666667
2005 MILVIA ST,916.46
2202 BLAKE ST,899.3883333333333
2142 SACRAMENTO ST,1268.44
938 BANCROFT WAY,642.4625
2421 ELLSWORTH ST,1021.57
1037 ALLSTON WAY,1375.0
1357 HOPKINS ST,1370.64
1246 DELAWARE ST,1049.745
2500 DANA ST,1250.0491666666667
2902 ELLSWORTH ST,931.695
3141 COLLEGE AVE,859.5788235294118
2616 REGENT ST,1144.9250000000002
2432 HILGARD AVE,1127.5033333333333
2336 CURTIS ST,1297.98
1541 RUSSELL ST,962.1557142857143
2231 CEDAR ST,1162.74
2035 DELAWARE ST,792.04
1619 WALNUT ST,1025.4616666666666
3034 DOHR ST,1334.5725
2411 CEDAR ST,1973.7
1612 WALNUT ST,1051.361052631579
2545 REGENT ST,715.9725
2329 BROWNING ST,1299.5
2228 DERBY ST,989.345
2210 CALIFORNIA ST,958.732
2214 CHANNING WAY,1148.1471428571429
2025 FRANCISCO ST,870.4310526315788
2415 ASHBY AVE,951.335
1441 CARLETON ST,2148.3
1711 PARKER ST,1479.85
1512 TYLER ST,429.3533333333333
2737 DWIGHT WAY,1087.5
1918 HENRY ST,1151.92
74 POPPY LN,1479.85
2424 ATHERTON ST,737.81
1518 JULIA ST,1328.2125
1337 SHATTUCK AVE,1202.5716666666667
2410 PARKER ST,1028.5714285714287
1956 MARIN AVE,588.225
2451 LE CONTE AVE,1365.0406896551722
3042 TELEGRAPH AVE,1561.19
2340 CARLETON ST,1450.0
2922 STANTON ST,748.13
2321 WARD ST,990.78
1920 FRANCISCO ST,1178.0897916666663
3219 ADELINE ST,558.6625
1507 PRINCE ST,916.5679999999999
2001 HEARST AVE,1562.12
1610 HEARST AVE,827.165
1807 62ND ST,892.225
3039 ELLIS ST,950.0
2814 REGENT ST,948.7125000000001
2103 GRANT ST,1409.1116666666667
22 PANORAMIC WAY,1900.0
1819 BERKELEY WAY,3713.49
2703 WOOLSEY ST,782.3362500000001
1212 CARRISON ST,1472.7833333333335
