name,zip,num/range,pattern,company,type,zip+4
Hopkins St   ,94704,1341 to 1399,Odd Only, , S,94702-1146
Hopkins St   ,94704,1400 to 1498,Even Only, , S,94702-1223
Hopkins St   ,94704,1401 to 1419,Odd Only, , S,94702-1222
Hopkins St   ,94704,1421 to 1453,Odd Only, , S,94702-1243
Hopkins St   ,94704,1455 to 1499,Odd Only, , S,94702-1244
Hopkins St   ,94704,1458,, , H,94702-1250
Hopkins St   ,94704,1458,, , H,94702-1250
Hopkins St   ,94704,1466,, , H,94702-1249
Hopkins St   ,94704,1466,, , H,94702-1249
Hopkins St   ,94704,1497,, , H,94702-1201
Hopkins St   ,94704,1497,, , H,94702-1201
Hopkins St   ,94704,1300A,, , H,94702-1168
Hopkins St   ,94704,1300B,, , H,94702-1168
Hopkins St   ,94704,1300C,, , H,94702-1168
Hopkins St   ,94704,1300D,, , H,94702-1168
Hearst Ave   ,94704,2,, , N,94702-A001
Hearst Ave   ,94704,3,, , N,94702-A001
Hearst Ave   ,94704,1100 to 1198,Even Only, , S,94702-1622
Hearst Ave   ,94704,1101 to 1199,Odd Only, , S,94702-1621
Hearst Ave   ,94704,1120,, , H,94702-1601
Hearst Ave   ,94704,1120,, , H,94702-1602
Hearst Ave   ,94704,1120,, , H,94702-1603
Hearst Ave   ,94704,1120,, , H,94702-1650
Hearst Ave   ,94704,1120,, , H,94702-1684
Hearst Ave   ,94704,1120,, , H,94702-1685
Hearst Ave   ,94704,1120,, , H,94702-1686
Hearst Ave   ,94704,1129,, , H,94702-1662
Hearst Ave   ,94704,1129,, , H,94702-1662
Hearst Ave   ,94704,1133,, , H,94702-1663
Hearst Ave   ,94704,1133,, , H,94702-1663
Hearst Ave   ,94704,1135,, , H,94702-1674
Hearst Ave   ,94704,1135,, , H,94702-1674
Hearst Ave   ,94704,1136,, , H,94702-1664
Hearst Ave   ,94704,1136,, , H,94702-1664
Hearst Ave   ,94704,1137,, , H,94702-1670
Hearst Ave   ,94704,1137,, , H,94702-1670
Hearst Ave   ,94704,1138,, , H,94702-1665
Hearst Ave   ,94704,1138,, , H,94702-1665
Hearst Ave   ,94704,1139,, , H,94702-1669
Hearst Ave   ,94704,1139,, , H,94702-1669
Hearst Ave   ,94704,1140,, , H,94702-1666
Hearst Ave   ,94704,1140,, , H,94702-1666
Hearst Ave   ,94704,1142,, , H,94702-1667
Hearst Ave   ,94704,1142,, , H,94702-1667
Hearst Ave   ,94704,1144,, , H,94702-1668
Hearst Ave   ,94704,1144,, , H,94702-1668
Hearst Ave   ,94704,1144,, , H,94702-1668
Hearst Ave   ,94704,1144,, , H,94702-1688
Hearst Ave   ,94704,1146,, , H,94702-1682
Hearst Ave   ,94704,1146,, , H,94702-1682
Hearst Ave   ,94704,1148,, , H,94702-1679
Hearst Ave   ,94704,1148,, , H,94702-1679
Hearst Ave   ,94704,1150,, , H,94702-1676
Hearst Ave   ,94704,1150,, , H,94702-1676
Hearst Ave   ,94704,1154,, , H,94702-1677
Hearst Ave   ,94704,1154,, , H,94702-1677
Hearst Ave   ,94704,1156,, , H,94702-1678
Hearst Ave   ,94704,1156,, , H,94702-1678
Hearst Ave   ,94704,1158,, , H,94702-1680
Hearst Ave   ,94704,1158,, , H,94702-1680
Hearst Ave   ,94704,1160,, , H,94702-1652
Hearst Ave   ,94704,1160,, , H,94702-1652
Hearst Ave   ,94704,1200 to 1258,Even Only, , S,94702-1417
Hearst Ave   ,94704,1201 to 1265,Odd Only, , S,94702-1416
Hearst Ave   ,94704,1244,, , H,94702-1449
Hearst Ave   ,94704,1244,, , H,94702-1473
Hearst Ave   ,94704,1244,, , H,94702-1474
Hearst Ave   ,94704,1246,, , H,94702-1448
Hearst Ave   ,94704,1246,, , H,94702-1448
Hearst Ave   ,94704,1260 to 1298,Even Only, , S,94702-1444
Hearst Ave   ,94704,1267 to 1299,Odd Only, , S,94702-1443
Hearst Ave   ,94704,1277,, , H,94702-1450
Hearst Ave   ,94704,1277,, , H,94702-1450
Hearst Ave   ,94704,1300 to 1398,Even Only, , S,94702-1419
Hearst Ave   ,94704,1301,, , H,94702-1454
Hearst Ave   ,94704,1301,, , H,94702-1454
Hearst Ave   ,94704,1301 to 1355,Odd Only, , S,94702-1418
Hearst Ave   ,94704,1357 to 1399,Odd Only, , S,94702-1464
Hearst Ave   ,94704,1359,, , H,94702-1400
